title,release.name,artist.name,terms,year
Stream,The Ultimate Most Relaxing New Age Piano in the Universe,Suzanne Ciani,meditation,0
Make Me Over,Classic Gold: Best of All,Vickie Winans,ccm,0
Deform (live),The Berzerker,The Berzerker,speedcore,2000
Wicker Chair,Holy Roller Novocaine,Kings Of Leon,southern rock,2003
An ti chans',Jeux de dames_ vol. 1 (rA(c)alisation Ronald Rubinel),Edith Lefel,zouk,0
I Will Love Again (JJ's Club Radio),I Will Love Again,Taras,trance,0
Stickin In My Eye,White Trash ......,NOFX,punk,1992
Ota kiinni,Murskapunkkia,Murskahumppa,suomi rock,0
Entre CanAbales,CanciA3n Animal,Soda Stereo,rock,1990
Rosemary Recalls,The Man from Snowy River,Bruce Rowland,easy listening,1985
Sudanese Dance,One World One People,Xcultures,gabba,2000
Where The Thunder Roars (Tales Of Wonder Album Version),Tales Of Wonder,White Heart,ccm,0
Wanna Be A Player,Waterbed Hev,Heavy D / McGruff,pop rap,1997
Panama (Remastered Album Version),The Best Of Both Worlds,Van Halen,heavy metal,0
Let's Get It Started,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,Black Eyed Peas,hip hop,2004
Metal,Things Falling Apart,Nine Inch Nails,industrial metal,2000
She Fell Away (2009 Digital Remaster),Your Funeral... My Trial (2009 Digital Remaster),Nick Cave & The Bad Seeds,rock,0
Next Time,Oasis of Love,Nadine Renee,freestyle,0
It's My Party,60's Triple set,Lesley Gore,brill building pop,1963
Complicate It,Yeah.  Well_ Anyway....,Smartbomb,melodic hardcore,2001
Monde De Fou,Un Titre de Toune,Suburbs,british pop,2005
Opus a Satana (Part 2),Live Inferno,Emperor,heavy metal,0
This Melody (Live),Vendredi 13 - 1981,Julien Clerc,chanson,0
I'm Gone This Time,Unconditional Love,Glen Campbell,country rock,0
You Feel Good All Over,The Very Best Of,T.G. Sheppard,country rock,2002
Indian Love Call,Country Lovers. Vol. 3,Slim Whitman,folk-pop,1990
You Can Still Be Free,Affirmation,Savage Garden,easy listening,1999
I Never Came,Lullabies To Paralyze,Queens Of The Stone Age,stoner metal,2005
Dixie,It's War Again,Hank Penny & The Lincoln Penny Orchestra,western swing,0
Commercial Reign,The Singles,Inspiral Carpets,indie rock,1990
Hourglass,What You Thought You Heard,Borialis,rap rock,0
Wake,Daddy Don't Disco,The Dirty Skirts,indie rock,0
Caricia Y Herida,15 Exitos Vol. 2 Flor Silvestre,Flor Silvestre,ranchera,0
Le tortillard,Le top du pA"re NAPel,BA(c)zu,chanson,0
WKYA (drop),Malpractice,Redman,hip hop,2001
TerA$?slintu,20 Suosikkia / Rilluttele yAP,Solistiyhtye Suomi,german pop,0
Now's The Time To Fall In Love,The Fabulous Eddie Cantor,Eddie Cantor,easy listening,0
Grim Prospects (Gross Prospects - Bad Trip Remix),Grim Prospects Remixes - Grim Prospects Will Never End,Schizoid,breakcore,0
Mangos,The Incredible Kai Winding Trombones,Kai Winding,hard bop,1961
A Distant Voice,Staying on the Watch,Sonny Simmons,free jazz,0
Openbare Weg,Openbare Weg,Mira,shoegaze,2006
President Johnson,Tip World Singles 2000,Citizen Kaned,chill-out,2000
Lead Me Lord,Praise Him...Live!,The Brooklyn Tabernacle Choir,gospel,1995
Spontanous Combustion,Spontanous Combustion,Ellen McIlwaine,blues-rock,0
Choro,From All Sides,Vince Guaraldi / Bola Sete,latin jazz,0
Ma Louise,Maurice Chevalier  The Essential Collection Vol 1,Maurice Chevalier,chanson,0
I Want You (Forever),Dave Pearce Best of the Dance Years 1988 - 1992,Carl Cox Vs Yousef,tech house,1991
Hate,The Equinox,Organized Konfusion,hip hop,1997
I Can't Stop Loving You,Timeless,Martina McBride,country,2005
Thank You Lord,Feel Good All Over: Anthology 1970-1976,Horace Andy,roots reggae,1985
How Can You Call That Beautiful (Stewkey Vocal),13th And Pine,Nazz,freakbeat,0
Cheatin' In The Next Room,Call Tyrone,Tyrone Davis,chicago soul,0
Candy Man,Final Vinyl,Hot Tuna,blues-rock,1971
I See The Boys Of Summer,Fifteen Poems By Dylan Thomas,Richard Burton,jazz fusion,0
Three Is a Crowd,The Early Tapes 1975-1976,Rory Block,delta blues,0
On Bended Knee,Legacy,Boyz II Men,new jack swing,1994
My Four Reasons,Louie Bluie Film Soundtrack,Howard Armstrong,piedmont blues,0
Little Girl (LP Version),Donny Hathaway,Donny Hathaway,jazz funk,1971
Eternamente Amame,Canciones De Amor De Miguel Gallardo,Miguel Gallardo,male vocalist,0
Niev nietch nievitch,Irfan_ le hA(c)ros,Les Ogres De Barback,chanson,1999
Come Over,What up Detroit,DJ X-Change featuring DJ Joey A,ghetto tech,0
Blue Taxi,Peterbilt Angel,Morel,dance pop,0
I Want Love (Tween You & Me) (Album Version),Homemade Ice-Cream,Tony Joe White,country rock,0
White Feather,White Feather,Wolfmother,stoner metal,2009
Christlike Roche,Can We Go Home Now,The Roches,singer-songwriter,1995
You Rascal You,In North Carolina,Bob Margolin,blues-rock,0
Sympathy,Wintertime,Thomas Battenstein,guitar,0
They Say (Album),Electropop,Jupiter Rising,pop rap,2007
Simon's Folly,DUMB: 4-track cassette recordings (1987),Dharma Bums,progressive house,0
Crawl Before You Ball (Album Version),The Hit List,Saafir,hip hop,1999
Medicate Myself,Underneath,The Verve Pipe,post-grunge,2001
Biding Her Time,99 Monkeys,Bob Neuwirth,singer-songwriter,1990
More And More  (LP Version),Nothing Else Matters,Marvin Sapp,gospel,0
Cowboy Ways,A Tribute to The American Horse,James Hunter,blue-eyed soul,0
Brasas Vivas,Mis Momentos,Nelson Ned,latin jazz,0
Kolomeyke,Mish Mash_ Le Blues European: Musique Slave Et Klezmer,Mish Mash,vocal house,0
In This Life,In this Life,Cama,los angeles,2009
Groovin' In The Midnight,Best Of Maxi Priest,Maxi Priest,lovers rock,1991
Waiting,Signify (Special Edition),Porcupine Tree,experimental rock,1997
A'chek Ouyounik (2009 Digital Remaster),Bravo Alayki Rare recording,Ragheb Alama,arabesque,0
Hell,In Your Honor,Foo Fighters,grunge,2005
Hips Don't Lie (featuring Wyclef Jean),Essential R&B Hit Selection,Shakira Featuring Wyclef Jean,dance pop,0
Juoksuhauta-twist (ElA$?mA$? juoksuhaudoissa),20 Suosikkia / Rautalankaklassikot / Kolme kitaraa,The Avengers,rock,0
I Got Over It (Album Version),Talk To Your Daughter,Robben Ford,blues-rock,1988
One Less Bell To Answer,American Songbook - Bacharach,Brazilian Tropical Orchestra,bossa nova,0
Festa,Nha VitA3ria,Gil Semedo,zouk,0
Te Hacen Falta Vitaminas,Gira Me VerA!s Volver,Soda Stereo,rock,1984
Sense And Trick,Scarcity,Xmilk,thrash core,0
Fire (Oscar G Space Vocal Mix),Fire,Dolce; Oscar G.,folk-pop,0
Hanging On (Medium Key Performance Track Without Background Vocals),Hanging On (Premiere Performance Plus Track),Britt Nicole,ccm,0
Grim Prospects (Version 2 Remix),Grim Prospects Remixes - Prospects Are Getting Grimmer,Schizoid,breakcore,0
Christmas In Jamaica,Snowflakes,Toni Braxton Featuring Shaggy,dance pop,2001
Gossippo Perpetuo,The Out Sound From Way In!,Perrey And Kingsley,easy listening,2001
2190 Dias Contigo,El Fuego De Dentro,Sven Tasnadi,tech house,0
No Control,No Control,Eddie,frevo,0
The Vitalized Shell,Pentagrammaton,Enthroned,black metal,2010
Mozart,Pianissimo,Suzanne Ciani,meditation,1989
Ciao Milan,Milan Milan,Milan Band,serialism,0
Lend Me Your Chopper,Auralux Reggae Showcase,Johnny Osbourne,roots reggae,2004
Letter To Heaven,Heaven,Dolly Parton,bluegrass,1971
Heaven is Where The Heart Is,Up Above My Head,Rance Allen Group,jazz funk,0
Inside Job,Pearl Jam,Pearl Jam,grunge,2006
Take A Look  (LP Version),Take A Look,Natalie Cole,vocal jazz,0
The Czar: Usurper/Escape/Martyr/Spiral (Album Version),Crack The Skye,Mastodon,alternative metal,2009
Bulgarian Dream,Behind The Blue,Kiril Valeri,flamenco,0
Amalgama,Matumago X Press,Word,blues-rock,0
Born and Raised In Compton,The Best of DJ Quik - Da Finale,DJ Quik,gangster rap,1991
We're Gonna Go Fishin',RCA Country Legends,Hank Locklin,honky tonk,0
Robbers Kill Cop,LOOK (Original Motion Picture Soundtrack),BT,electronica,0
Relax,Relax,2-4 Grooves feat. Reki D.,vocal house,2009
Sweet By And By,Joy In Our Hearts - The Gospel Side Of The Jordanaires,The Jordanaires,country gospel,0
Orgofart,Enjoy!,Descendents,hardcore punk,1986
Bitch Is Back,A Nite On The Strip - Live,L.A. Guns,heavy metal,1988
Naked Albino,Boo-Tay,Bare Jr.,post-grunge,1998
Johnny Loves Me (LP Version),The Best Of Shelley Fabares [Digital Version],Shelley Fabares,brill building pop,0
Dearly Beloved,In London_ In Love,Norrie Paramor,easy listening,0
The Look Of Love,Of My Times,Gary Hobbs,tejano,0
Cooler Than You,Venus Envy,Diesel Boy,pop rock,1998
Taryns Deepest Fear,Freddy's Favorites: The Best of A Nightmare On Elm Street,Angelo Badalamenti,chill-out,0
Summer Dying Fast,Bitter Suites to Succubi,Cradle Of Filth,sympho black metal,1994
Still,Manila Nights,Jim Chappell,chamber jazz,0
Snapshot,Snapshot,Ladybug,dancehall,0
End Of The Road (Head Hornys Remix),End Of The Road - Single,Bandido,hard house,0
7 Miles,7 Miles,Brixx,rap,0
The Frail,Things Falling Apart,Nine Inch Nails,industrial metal,1999
Para Milladoiro,Os soA+-os que volven,Susana Seivane,gaita,2010
Stone Cold Fingers (Bonus Track),Leland Martin,Leland Martin,honky tonk,0
Snowball,For Screening Purposes Only,Test Icicles,grime,2005
(We Don't Need This) Fascist Groove Thang,Endless,Heaven 17,new romantic,1981
Drunk Alone,That Which Does Not Kill You...Can Only Make You Stronger : Three Way Split,React,happy hardcore,0
Charisma,Break The Night,Sven Tasnadi,tech house,0
Going Down Slow,Texas Songster,Mance Lipscomb,texas blues,2000
All Rise,The Scott Wesley Brown Collection: A Library of 35 Favorite Songs,Scott Wesley Brown,modern rock,0
Jogo Limpo,Seu Olhar NAPSo Mente,FlA!vio JosA(c),brazil,0
Silent Hill,Never Be Scared / Don't Be A Hero,Moss,future jazz,2009
Our Love Is Here To Stay,S'Wonderful Movie'n Bossa,Pery Ribeiro,bossa nova,0
Everything Changes,Time and Space,Soular,breakbeat,0
Master Of Disharmony,Death ... Is just the beginning Vol.4,Dimmu Borgir,black metal,1996
(This Is Not A) Love Song (Live),Live In Tokyo,Public Image Ltd,dance rock,1983
What Are We Here For,Dark Days In Paradise,Gary Moore,blues-rock,1997
Une petite pause,Une petite pause,Pascal Sangla,french pop,2010
Wig,The B52's,The B-52's,dance rock,1986
Perasmena Mesanihta,Moments,Dakis,greek,0
God Save the Queen (Live),Punk International,Sex Pistols,punk,1988
Forever,Forever,Chris Brown,r&b,0
Sun Is Shining,Breaks_ Beats & Blondes,Deekline & Wizard,breakbeat,2004
New Age,Reiki - Spiritual Fitness_ Relaxation and Chakra Meditation,Daniela DessA!,opera,0
Have Yourself A Merry Little Christmas,Peace At Last - EP,Hem,folk-pop,2005
U Killed It,Alright_ Still (Deluxe),Lily Allen,ska,2006
Rain And Snow,Light Flight - The Anthology,Pentangle,british invasion,0
Gerra De De,This DJ,DJ Dips,turnablism,0
Kako mi je pitas sad,Zlatni hitovi '90 1,Ana Bekuta,pop folk,0
Voices On The Corner,Miles To Miles,Jason Miles,jazz fusion,0
(Bloody Paw On The) Kill Floor,RoadKillOvercoat,Busdriver,alternative hip hop,2007
I Wish My Mother Was Here,Addressing The Nation With The Blues,Byther Smith,chicago blues,1989
Inolvidable,Lagrimas Negras,Bebo & Cigala,latin jazz,2003
Miracle,Surprise,Bizarre Inc,breakbeat,1996
Witch Weed (Live),Apogee,Bongzilla,stoner metal,1999
Not Buried Deep Enough,Bone To Pick,The Gone Jackals,blues-rock,1995
Give Me 40 Acres (To Turn This Rig Around),Strictly Trucking,The Willis Brothers,western swing,0
Ernesto Nazareth,Music Of The Brazilian Masters,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,latin jazz,0
The Cube (Live),To Live Alone,S.U.P,doom metal,2001
Get Back Down,PeeBoy EP,Boogie Pimps,hard house,0
Battle Of The Rosebud / Cries,The Way West,Brian Keane,world beat,0
Beyond the Light,Suburban,Aberdeen,twee pop,0
Spaceman,Hitzone 49,The Killers,rock,2008
Pulecenella 'e mA2,Il meglio di Gloriana,Gloriana,teen pop,0
Iskorosten' (instr.),Za Solntsem Vsled,Butterfly Temple,doom metal,0
Big Stax/High Volts (Album Version),Time Will Tell,Grant Geissman,smooth jazz,0
It Goes On,4 Day Tornado,20/20,power pop,0
Pecado De Amor,Ao Vivo,JosA(c) Augusto,latin pop,0
Illuminate,The Altogether,Orbital,techno,2001
Never Forget Me,Strength & Loyalty,Bone Thugs-N-Harmony / Akon,gangster rap,2007
Ukkosenjumalan poika,Kivenkantaja,Moonsorrow,viking metal,2001
A B***** Is A B***** (Edited),Straight Outta Compton,N.W.A.,gangster rap,1989
Kick Out The Jams,Live at the Grand Olympic Auditorium,Rage Against The Machine,rap metal,2000
Me And My Buddy,Take One More Chance With Me,Jazz Gillum,chicago blues,0
Amber Changing,Revolutions Per Minute,Rise Against,hardcore punk,2003
Murder Academy,Psycho Drama,Ultraviolence,gabba,1995
Hey Daddy,Issues,Korn,rap metal,1999
4 Sea Interludes Op. 33a: Storm,Britten: Orchestral Works,Sir Neville Marriner,requiem,0
I Need You Now,I Need You Now,Agnes,europop,0
Atmosphere Station,Aliens - The Deluxe Edition,James Horner,rock,1986
Walk Away,Mind Control,Tantric,post-grunge,2009
Shadows That Move,Call of the Mastodon,Mastodon,alternative metal,2001
Smile,One World One People,Xcultures,gabba,2000
Mountains Of Mourne,Live From Dublin,The Irish Tenors,irish folk,0
Kite Live from Sydney,Window In The Skies,U2,dance rock,2007
Loco (Crazy),Nuestra TradiciA3n,Little Joe,soul jazz,0
Ever Be,Untitled,Korn,rap metal,2007
Oh Look Misery,Bahamian Songs,Blind Blake & The Royal Victoria Hotel Calypsos,country blues,0
Yesterdays,A Jerome Kern Songbook,Percy Faith,instrumental pop,0
Teacher's Pet,Extreme,Extreme,funk metal,0
Palmer enquAate,L'enquAate corse - bof,Alexandre Desplat,soundtrack,2004
Go To Hell,Tales From The Sick,Prozak,rap,0
Moon River - Original,Jerry Butler Selected Hits Vol. 4,Jerry Butler,chicago soul,0
La Plus Bath Des Javas,L'essentiel 2003,Yvette Horner,chanson,0
Infidel,No Regrets,Delta 9,gabba,0
English Summer Rain,Sleeping With Ghosts,Placebo,british pop,2003
Spanish Shuffle (Album Version),Miscelanea,Tam Tam Go!,pop rock,0
Intro,500,Gertrudis,big beat,2009
Empress So Divine,Virtuous Woman,Warrior King,roots reggae,2002
Terapia De Amor Intensiva,De Musica Ligera,Soda Stereo,rock,1988
Haunting,My Soul Speaks,LORE,trip hop,0
Lies Of Hate,Candy From A Stranger,Soul Asylum,hard rock,1998
The First Noel,Music For Christmas Lovers,Carl Doy with NZSO,progressive house,0
Musical Episode,Exclusively,Horace Andy,roots reggae,2005
Beautiful Brown eyes,Country Masters Vol 1,Jimmy Wakely,classic country,2001
Drop the Bass,Ultimate Happy Hardcore 3,The Nightraver & The Magican,gabba,0
The Last Word (Amended Version),Dirty Harriet,Rah Digga (Featuring Outsidaz),hip hop,2000
Hard Times,Run DMC,RUN-DMC,hip hop,1984
Just As Much As Ever,Love That Bert Kaempfert,Bert Kaempfert And His Orchestra,orchestra,0
Filipino Baby,Please Help Me I'm Fallin',Hank Locklin,honky tonk,0
The Boss,Pink Chokolate!,Lady May,hip hop,0
Escapist,Made In Hong Kong (And In Various Other Places),Nightwish,sympho black metal,2007
Jeffrey's Dark Side,Blue Velvet,Angelo Badalamenti,chill-out,1987
Someone to Watch Over Me,Windsor Strings,Frank Chacksfield,orchestra,0
Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente,Samambaia,Cesar Camargo Mariano/Helio Delmiro,latin jazz,0
Pinned To The Ground (album version),Disconnected,Buzzhorn,post-grunge,2002
Always And Never (Album Version),Discovering The Waterfront,Silverstein,post-hardcore,2005
Myth Takes,Myth Takes,!!!,dance-punk,2007
Carpe PM,The Last Living American Marxists,The Secret Life of Teenage Girls,grindcore,0
Who Shot Ya (Amended Album Version),Greatest Hits,The Notorious B.I.G.,gangster rap,2007
Poor Tom (Album Version),Coda,Led Zeppelin,blues-rock,1982
Wounded Hearts,The Pink & The Lily,Sandi Thom,british pop,2008
Love's Been Good To Me,20 Greatest Hits,Carl Belew,rockabilly,0
When Morning Comes To Town,Coastal,The Field Mice,twee pop,1989
Estate,Once More,Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,hard bop,0
Freedom Enough (From Silent Mother Nature),Harry / Silent Mother Nature,Catherine Howe,chill-out,0
Hai Shava,Hai Shava,Malkit Singh,broken beat,1993
Nutty Block,Get Ready To Roll,Rodney O & Joe Cooley,miami bass,1991
Until You Love Someone,Love From&The Rat Pack,Dean Martin,vocal,2005
Part One From Triomusic,STRATA,Strata,post-grunge,2004
Hello Young Lovers (LP Version),Love Among The Young,James Darren,brill building pop,0
Same Man,Ministry of Sound Presents 100,Till West & DJ Delicious,funky house,2006
Quiero Ir Ao Mar,Cinema Do Mar,Carlos NuA+-ez,flamenco,2005
The Owl and the Pussy-cat,Essential Igor Stravinsky,Igor Stravinsky,ballet,0
Set You Free This Time,Echoes,Gene Clark,country rock,1998
Bloco Da Solidao (1996 Digital Remaster),Talento,Maysa,brazilian pop music,0
Will You Love Me Tomorrow,Dreamboats & Petticoats 2,The Shirelles,doo-wop,1960
Stille nacht_ heilige nacht,Voices of Angles - Christmas Favorites from the American Boychoir,The American Boychoir,j pop,0
Nine Ways,Cream Trance Anthems Ibiza 2009,JDS,happy hardcore,0
Northern Downpour (Album Version),Northern Downpour,Panic At The Disco,pop punk,0
Bad Seed,Love Is A Sometimes Thing,Jan Howard,classic country,0
Exchange,Guidum,Abraham Laboriel,jazz,1995
Marie D'Aquitaine,Disque PathA(c),MichA"le Arnaud,chanson,0
Oh My God,Oh My God,Sticky Fingaz,hip hop,2000
Joy To The World,A Classic Christmas,Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge,bel canto,0
Hoochie Coochie Man,Road House,The Jeff Healey Band,blues-rock,1989
Ftei O Erotas,Thisia Live,Angela Dimitriou,pop folk,0
The Second Summer Of Love,Bebop Moptop,Danny Wilson,british pop,1989
Prelude And Fugue In C Major BWV 531 : Fugue,Bach: Organ Works Vol.2,Lionel Rogg,early music,0
Don't Phunk With My Heart,Dance Tribute to Lady Gaga Vs Black Eyed Peas,Java,musette,0
Give It What U Got,EQUALIZE,SWAMI featuring Asuivre,downtempo,2007
Dancing To A Standstill,King Of Myself,The Black Velvet Band,irish folk,0
Isla del Luna,Seasons Of The Soul,Lisa Lynne,chill-out,1999
Spirit,Realive Tour 2002 -Odoranya Son Son- in Tokyo,Pe'z,argentine rock,0
Another Long One,Steady On,Shawn Colvin,country rock,1989
Leng Jing,Music Cafe,Stephy Tang,cantonese pop,0
OAKtown,The Building,Casual,hip hop,0
Larger Than Life,Just Want You To Know,Backstreet Boys,teen pop,1999
I Hold Your Hand In Mine [Live At Royal Albert Hall],Live! At The Royal Albert Hall,Tiny Tim,cabaret,2000
Baby Come To Me,At Last... The Duets Album,Kenny G featuring Daryl Hall,instrumental pop,0
Den Pai Alo,Daktilika Apotipomata,Christos Dantis,pop rock,0
It Wont Be Christmas,A Christian Christmas Celebration (Gift of Love),David Martin,screamo,0
Knocked Out Of The Park,Leave Home,John Davis,jazz fusion,0
Salt In NYC,Salt In NYC,Trafik,progressive house,0
Wessex Loses a Bride,Shakespeare in Love - Music from the Miramax Motion Picture,Nick Ingman;Gavyn Wright,jazz funk,0
Erica (2005 Digital Remaster),Oh Mein Papa,Eddie Calvert,cool jazz,0
Blessed Assurance,Simply Glad,Glad,ccm,1993
Loaded Like A Gun,Trial and Error,Steel Rain,country rock,0
Rumba De Barcelona,Rumbas Sin Fronte Ras,Los Manolos,flamenco,0
Clementina SantafA",Il meglio di Gloriana,Gloriana,teen pop,0
Wild Rose (Back 2 Basics Mix),Wild Rose,Bombay Rockers,bhangra,0
Kutt Free (DJ Volume Remix),Kutt Free,Jinx,breakbeat,0
Ten Tonne,Ten Tonne EP,Chase & Status,breakbeat,2005
A Higher Place (Album Version),Wildflowers,Tom Petty,heartland rock,1994
Sono andati? Fingevo di dormire,Puccini: Highlights From La Boheme,Montserrat CaballA(c);Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,symphonic rock,0
Got My Mojo Workin,Mucho Pucho,Pucho & His Latin Soul Brothers,latin jazz,0
Get Your Head Stuck On Your Neck,Get Your Head Stuck On Your Neck,Soul Mekanik,tech house,0
Jenny Take a Ride,American Legend,Mitch Ryder,blues-rock,2004
Sonnerie lalaleulA(c) hi houuu,Sonneries tyroliennes,Blingtones,turnablism,0
Midnight Star,Northern Blue,Luna Orbit Project,club,0
Native Soul,. . . Till Then,Danilo Perez,latin jazz,2003
Der Kleine Dompfaff,Platinum Line Renaud,Line Renaud,chanson,0
A Whiter Shade Of Pale (Live @ Fillmore West),Live At Fillmore West [w/bonus tracks],King Curtis,instrumental rock,0
The Ballad Of Sleeping Beauty,Whaler,Sophie B. Hawkins,ballad,1994
Streets On Fire (Explicit Album Version),Lupe Fiasco's The Cool,Lupe Fiasco,hip hop,0
Music is what we love,Tears,Wilks,hip hop,0
City Slickers,The Bucket List,Marc Shaiman,soundtrack,2008
Intro,Nothing To Remember,40 Grit,nu metal,2003
Harajuku Girls,Love Angel Music Baby,Gwen Stefani,rock,2004
Prognosis,Major Impacts,Steve Morse,blues-rock,2000
Living Hell,Harsh Realities,Bitter End,stoner metal,0
Small World,Gypsy (Original Broadway Cast),Ethel Merman,vaudeville,0
Truck Driving Man/Down In The Caribbean,New Grass Revival With Leon Russell Live,Leon Russell & New Grass Revival,blues-rock,0
Swallow The Knife (Live) (Segue),Live In The Lou,Story Of The Year,screamo,2005
Mayday,Lyricist Lounge Vol. 1,Natural Elements,hip hop,1998
Lake Of Dreams,Daughters Of the Celtic Moon: A Windham Hill Collection featuring Lisa Lynne,Lisa Lynne,chill-out,1998
Because Of You,Love Songs,Neil Sedaka,brill building pop,1999
Un Peu D'Amour Et D'AmitiA(c),Joue Legrand & Becaud,Maurice Larcange,chanson,0
Rattlesnake!,Rattlesnake!,A Static Lullaby,post-hardcore,2008
Disappeared,Chasing Monsters,John Wesley_ John Wesley,disco,0
DoppelgA$?nger [Qliphothic Phantasmagoria],That Which Remains,Coph Nia,dark ambient,2000
Ain't No Love Ain't No Use (Love To Infinity Full Funk Mix),Ain't No Love (Ain't No Use),Tabu feat. Mitzib,cumbia,0
Ghost Town Rituals (Album Version),The Faithless,Nights Like These,doom metal,2006
Morning Glory,Stop The Clocks,Oasis,british pop,0
Rudolph The Red-Nosed Reindeer,Santa Claus Is Coming To Town,John Davis & Emma Doyle,jazz fusion,0
Tomorrow Gone,Something Deeper Than These Changes,Stew,cabaret,2003
I don't Want to Be Alone Tonight,Ocean,Jauida,male vocalist,0
Just A Little Lovin' (Will Go A Long Way),Number Ones,Eddy Arnold,honky tonk,1967
Shameless,So Wrong_ It's Right,All Time Low,pop punk,2007
And I Love You So,Songs For A Wedding - 18 Songs For That Special Day,Brian Dullaghan,irish folk,0
